"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","31012",1,0,0,0,1,354880,2062,"3101200","03","01","Cnpj",35,"07",9540202,5,5,0,3548807,"SP","Metropolitana de São Paulo","São Paulo","São Caetano do Sul","-23.6229","-46.5548"
"2","33295",1,0,0,0,0,355030,2062,"3329501","01","01","Cnpj",35,"07",4635022,0,0,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"3","31012",1,0,0,0,1,354730,2062,"3101200","06","01","Cnpj",35,"07",6530040,86,86,0,3547304,"SP","Metropolitana de São Paulo","Osasco","Santana de Parnaíba","-23.4439","-46.9178"
"4","33295",1,0,0,0,0,352430,2062,"3329501","02","01","Cnpj",35,"07",14871375,2,2,0,3524303,"SP","Ribeirão Preto","Jaboticabal","Jaboticabal","-21.252","-48.3252"
"5","33295",1,0,0,0,1,354780,2062,"3329501","02","01","Cnpj",35,"07",9111410,1,1,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"6","31012",1,0,0,0,1,354980,2062,"3101200","02","01","Cnpj",35,"07",15045080,3,3,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"7","33295",1,0,0,0,1,350950,2062,"3329501","01","01","Cnpj",35,"07",13015101,0,0,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"8","33295",1,0,0,0,1,350960,2062,"3329599","04","01","Cnpj",35,"10",13231610,14,14,0,3509601,"SP","Macro Metropolitana Paulista","Jundiaí","Campo Limpo Paulista","-23.2078","-46.7889"
"9","20622",1,0,0,0,0,351620,2305,"2062200","01","01","Cnpj",35,"10",14404021,0,0,0,3516200,"SP","Ribeirão Preto","Franca","Franca","-20.5352","-47.4039"
"10","31012",1,0,0,0,1,354990,2135,"3101200","02","01","Cnpj",35,"07",12239050,1,1,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"11","31012",1,0,0,0,1,354520,2062,"3101200","04","01","Cnpj",35,"07",13326193,11,11,0,3545209,"SP","Macro Metropolitana Paulista","Sorocaba","Salto","-23.1996","-47.2931"
"12","31012",1,0,0,0,1,355030,2062,"3101200","02","01","Cnpj",35,"07",4085002,3,3,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"13","33295",1,0,0,0,1,352590,2305,"3329501","03","01","Cnpj",35,"07",13210657,5,5,0,3525904,"SP","Macro Metropolitana Paulista","Jundiaí","Jundiaí","-23.1852","-46.8974"
"14","31012",1,0,0,0,1,353870,2135,"3101200","03","01","Cnpj",35,"07",13424305,8,8,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476"
"15","31012",1,0,0,0,1,354070,2135,"3101200","04","01","Cnpj",35,"07",99999999,15,15,0,3540705,"SP","Campinas","Pirassununga","Porto Ferreira","-21.8498","-47.487"
"16","31012",1,0,0,0,0,351220,2062,"3101200","06","01","Cnpj",35,"07",13835000,75,75,0,3512209,"SP","Piracicaba","Limeira","Conchal","-22.3375","-47.1729"
"17","31012",1,0,0,0,1,351340,2135,"3101200","02","01","Cnpj",35,"07",12701350,1,1,0,3513405,"SP","Vale do Paraíba Paulista","Guaratinguetá","Cruzeiro","-22.5728","-44.969"
"18","31012",1,0,0,0,0,351830,2135,"3101200","01","01","Cnpj",35,"07",8900000,0,0,0,3518305,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Guararema","-23.4112","-46.0369"
"19","20622",1,0,0,0,1,351880,2062,"2062200","03","01","Cnpj",35,"10",7251300,6,6,0,3518800,"SP","Metropolitana de São Paulo","Guarulhos","Guarulhos","-23.4538","-46.5333"
"20","31012",1,0,0,0,1,355030,2305,"3101200","02","01","Cnpj",35,"07",4414100,3,3,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"21","31012",1,0,0,0,1,351430,2062,"3101200","03","01","Cnpj",35,"07",13590000,6,6,0,3514304,"SP","Araraquara","São Carlos","Dourado","-22.1044","-48.3178"
"22","33295",1,0,0,0,0,352980,2305,"3329501","06","01","Cnpj",35,"07",17320000,85,85,0,3529807,"SP","Bauru","Jaú","Mineiros do Tietê","-22.412","-48.451"
"23","31012",1,0,0,0,1,354980,2062,"3101200","02","01","Cnpj",35,"07",15077270,1,1,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
