"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","01334",1,0,0,0,0,354490,4120,"0133402","02","01","Cnpj",35,"25",14660000,1,1,0,3544905,"SP","Ribeirão Preto","São Joaquim da Barra","Sales Oliveira","-20.7696","-47.8369"
"2","01334",1,1,0,0,0,352990,4081,"0133402","02","01","Cnpj",35,"25",11850000,4,4,0,3529906,"SP","Litoral Sul Paulista","Registro","Miracatu","-24.2766","-47.4625"
"3","01334",1,0,0,0,0,351480,4081,"0133402","02","01","Cnpj",35,"25",11960000,1,1,0,3514809,"SP","Litoral Sul Paulista","Registro","Eldorado","-24.5281","-48.1141"
"4","01334",1,0,0,0,1,352330,2062,"0133402","02","01","Cnpj",35,"25",11760000,2,2,0,3523305,"SP","Litoral Sul Paulista","Itanhaém","Itariri","-24.2834","-47.1736"
"5","01334",1,0,0,0,0,350925,4120,"0133402","04","05","Caepf",35,"25",11950000,16,16,0,3509254,"SP","Litoral Sul Paulista","Registro","Cajati","-24.7324","-48.1223"
"6","01334",1,0,0,0,0,354260,4081,"0133402","01","05","Caepf",35,"25",11900000,0,0,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"7","01334",1,0,0,0,0,352330,4081,"0133402","03","05","Caepf",35,"25",11760000,5,5,0,3523305,"SP","Litoral Sul Paulista","Itanhaém","Itariri","-24.2834","-47.1736"
"8","01334",1,0,0,0,0,352330,4081,"0133402","01","05","Caepf",35,"25",11760000,0,0,0,3523305,"SP","Litoral Sul Paulista","Itanhaém","Itariri","-24.2834","-47.1736"
"9","01334",1,0,0,0,0,352330,4081,"0133402","02","05","Caepf",35,"25",11760000,3,3,0,3523305,"SP","Litoral Sul Paulista","Itanhaém","Itariri","-24.2834","-47.1736"
"10","01334",1,0,0,0,0,354260,4081,"0133402","02","05","Caepf",35,"25",11900000,3,3,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"11","01334",1,0,0,0,0,353720,4081,"0133402","02","05","Caepf",35,"25",11790000,2,2,0,3537206,"SP","Litoral Sul Paulista","Itanhaém","Pedro de Toledo","-24.2764","-47.2354"
"12","01334",1,0,0,0,0,354260,4081,"0133402","02","05","Caepf",35,"25",11900000,4,4,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"13","01334",1,0,0,0,0,354260,4081,"0133402","02","05","Caepf",35,"25",11900000,4,4,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"14","01334",1,0,0,0,0,354260,4081,"0133402","03","05","Caepf",35,"25",11900000,6,6,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"15","01334",1,0,0,0,0,354260,4120,"0133402","03","05","Caepf",35,"25",11900000,5,5,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
"16","01334",1,0,0,0,0,354260,4081,"0133402","02","05","Caepf",35,"25",11900000,3,3,0,3542602,"SP","Litoral Sul Paulista","Registro","Registro","-24.4979","-47.8449"
