"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3501301,"Álvares Machado",1
"2",3501608,"Americana",3
"3",3502804,"Araçatuba",2
"4",3503208,"Araraquara",5
"5",3503307,"Araras",8
"6",3503406,"Arealva",1
"7",3504107,"Atibaia",4
"8",3504206,"Auriflama",1
"9",3505302,"Barra Bonita",1
"10",3505708,"Barueri",3
"11",3505906,"Batatais",1
"12",3506003,"Bauru",5
"13",3506102,"Bebedouro",1
"14",3506508,"Birigui",6
"15",3507001,"Boituva",6
"16",3507506,"Botucatu",6
"17",3507605,"Bragança Paulista",2
"18",3508405,"Cabreúva",3
"19",3508504,"Caçapava",5
"20",3509205,"Cajamar",1
"21",3509254,"Cajati",1
"22",3509452,"Campina do Monte Alegre",1
"23",3509502,"Campinas",13
"24",3510401,"Capivari",2
"25",3510609,"Carapicuíba",4
"26",3511607,"Cesário Lange",1
"27",3513009,"Cotia",1
"28",3513405,"Cruzeiro",3
"29",3513504,"Cubatão",1
"30",3513801,"Diadema",4
"31",3515004,"Embu das Artes",6
"32",3515186,"Espírito Santo do Pinhal",1
"33",3515707,"Ferraz de Vasconcelos",9
"34",3516200,"Franca",4
"35",3516853,"Gavião Peixoto",1
"36",3518305,"Guararema",1
"37",3518404,"Guaratinguetá",1
"38",3518701,"Guarujá",10
"39",3518800,"Guarulhos",21
"40",3519055,"Holambra",1
"41",3519071,"Hortolândia",7
"42",3519204,"Iacri",1
"43",3519709,"Ibiúna",1
"44",3520004,"Igaraçu do Tietê",1
"45",3520509,"Indaiatuba",4
"46",3521101,"Ipeúna",1
"47",3521408,"Iracemápolis",1
"48",3522208,"Itapecerica da Serra",3
"49",3522505,"Itapevi",1
"50",3522604,"Itapira",8
"51",3523107,"Itaquaquecetuba",1
"52",3523404,"Itatiba",2
"53",3523909,"Itu",1
"54",3524006,"Itupeva",2
"55",3524303,"Jaboticabal",3
"56",3524402,"Jacareí",2
"57",3524600,"Jacupiranga",1
"58",3524709,"Jaguariúna",2
"59",3524808,"Jales",1
"60",3525003,"Jandira",1
"61",3525300,"Jaú",1
"62",3525904,"Jundiaí",4
"63",3526704,"Leme",1
"64",3526902,"Limeira",14
"65",3529005,"Marília",1
"66",3529302,"Matão",1
"67",3529401,"Mauá",1
"68",3530300,"Mirassol",2
"69",3530508,"Mococa",1
"70",3530706,"Mogi Guaçu",5
"71",3530805,"Mogi Mirim",3
"72",3531308,"Monte Alto",6
"73",3531506,"Monte Azul Paulista",1
"74",3532405,"Nazaré Paulista",1
"75",3533007,"Nova Granada",1
"76",3533908,"Olímpia",1
"77",3534302,"Orlândia",1
"78",3534401,"Osasco",4
"79",3535408,"Panorama",1
"80",3536208,"Pariquera-Açu",1
"81",3536505,"Paulínia",4
"82",3536703,"Pederneiras",1
"83",3537305,"Penápolis",1
"84",3538006,"Pindamonhangaba",4
"85",3538709,"Piracicaba",3
"86",3539301,"Pirassununga",1
"87",3539806,"Poá",1
"88",3540002,"Pompéia",3
"89",3540606,"Porto Feliz",1
"90",3541000,"Praia Grande",2
"91",3541307,"Presidente Epitácio",1
"92",3541406,"Presidente Prudente",3
"93",3541604,"Promissão",1
"94",3542909,"Ribeirão Bonito",1
"95",3543402,"Ribeirão Preto",7
"96",3543907,"Rio Claro",5
"97",3544202,"Riolândia",1
"98",3545209,"Salto",2
"99",3545803,"Santa Bárbara d'Oeste",1
"100",3546009,"Santa Branca",1
"101",3546603,"Santa Fé do Sul",2
"102",3547007,"Santa Maria da Serra",2
"103",3547304,"Santana de Parnaíba",2
"104",3547809,"Santo André",1
"105",3548005,"Santo Antônio de Posse",4
"106",3548500,"Santos",4
"107",3548708,"São Bernardo do Campo",6
"108",3548807,"São Caetano do Sul",8
"109",3548906,"São Carlos",5
"110",3549102,"São João da Boa Vista",3
"111",3549805,"São José do Rio Preto",2
"112",3549904,"São José dos Campos",26
"113",3550308,"São Paulo",117
"114",3550803,"São Sebastião da Grama",3
"115",3551009,"São Vicente",1
"116",3551702,"Sertãozinho",4
"117",3552205,"Sorocaba",7
"118",3552403,"Sumaré",4
"119",3552502,"Suzano",4
"120",3552809,"Taboão da Serra",7
"121",3554102,"Taubaté",8
"122",3554953,"Tuiuti",1
"123",3556107,"Valentim Gentil",1
"124",3556206,"Valinhos",1
"125",3556404,"Vargem Grande do Sul",1
"126",3556453,"Vargem Grande Paulista",3
"127",3556503,"Várzea Paulista",3
"128",3556701,"Vinhedo",3
"129",3557105,"Votuporanga",3
"130",3557154,"Zacarias",1
