"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","CNAE 2.0 Subclasse","Tamanho Estabelecimento","UF","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","Natureza_Juridica","TpEstab","IbgeSubSetor","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE","ds_nat_jur","ds_tpestab","ds_ibge_subsetor"
"1","23991",1,0,0,0,0,351550,"2399199","03",35,99999999,5,5,0,2062,1,2,3515509,"SP","São José do Rio Preto","Fernandópolis","Fernandópolis","-20.2806","-50.2471","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"2","23991",1,0,0,0,1,350760,"2399199","02",35,12906330,2,2,0,2135,1,2,3507605,"SP","Macro Metropolitana Paulista","Bragança Paulista","Bragança Paulista","-22.9527","-46.5419","FRM MER IND","CNPJ","Indústria de produtos minerais nao metálicos"
"3","08100",1,0,0,0,0,350740,"0810099","05",35,14955000,24,24,0,2062,1,1,3507407,"SP","Araraquara","Araraquara","Borborema","-21.6214","-49.0741","SOC QT LTDA","CNPJ","Extrativa mineral"
"4","08100",1,0,0,0,0,354060,"0810099","02",35,18540000,5,5,0,2062,1,1,3540606,"SP","Macro Metropolitana Paulista","Sorocaba","Porto Feliz","-23.2093","-47.5251","SOC QT LTDA","CNPJ","Extrativa mineral"
"5","23991",1,0,0,0,1,351440,"2399199","03",35,17900000,5,5,0,2062,1,2,3514403,"SP","Presidente Prudente","Dracena","Dracena","-21.4843","-51.535","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"6","23991",1,0,0,0,0,353060,"2399199","06",35,8735275,55,55,0,2062,1,2,3530607,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Mogi das Cruzes","-23.5208","-46.1854","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"7","23991",1,0,0,0,0,352340,"2399199","03",35,13254238,9,9,0,2062,1,2,3523404,"SP","Macro Metropolitana Paulista","Bragança Paulista","Itatiba","-23.0035","-46.8464","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"8","23991",1,0,0,0,0,350850,"2399199","04",35,12286715,16,16,0,2062,1,2,3508504,"SP","Vale do Paraíba Paulista","São José dos Campos","Caçapava","-23.0992","-45.7076","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"9","23991",1,0,0,0,1,354390,"2399199","03",35,13505600,8,8,0,2062,1,2,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"10","23991",1,0,0,0,1,351380,"2399199","02",35,9981360,2,2,0,2305,1,2,3513801,"SP","Metropolitana de São Paulo","São Paulo","Diadema","-23.6813","-46.6205",NA,"CNPJ","Indústria de produtos minerais nao metálicos"
"11","09904",1,0,0,0,1,355420,"0990403","06",35,18830000,58,58,0,2305,1,1,3554201,"SP","Assis","Ourinhos","Tejupá","-23.3425","-49.3722",NA,"CNPJ","Extrativa mineral"
"12","09904",1,0,0,0,0,353120,"0990403","03",35,13915000,8,8,0,2305,1,1,3531209,"SP","Campinas","Amparo","Monte Alegre do Sul","-22.6817","-46.681",NA,"CNPJ","Extrativa mineral"
"13","08100",1,0,0,0,0,355250,"0810099","02",35,8653015,1,1,0,2062,1,1,3552502,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Suzano","-23.5448","-46.3112","SOC QT LTDA","CNPJ","Extrativa mineral"
"14","08100",1,0,0,0,0,350660,"0810099","05",35,8940000,24,24,0,2062,1,1,3506607,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Biritiba Mirim","-23.5698","-46.0407","SOC QT LTDA","CNPJ","Extrativa mineral"
"15","23991",1,0,0,0,1,354910,"2399199","02",35,13873067,1,1,0,2062,1,2,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"16","23991",1,0,0,0,0,354390,"2399199","04",35,13509000,24,24,0,2062,1,2,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"17","23991",1,0,0,0,0,354140,"2399199","02",35,19043140,5,5,0,2062,1,2,3541406,"SP","Presidente Prudente","Presidente Prudente","Presidente Prudente","-22.1207","-51.3925","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"18","23991",1,0,0,0,0,354240,"2399199","03",35,19570000,12,12,0,2062,1,2,3542404,"SP","Presidente Prudente","Presidente Prudente","Regente Feijó","-22.2181","-51.3055","SOC QT LTDA","CNPJ","Indústria de produtos minerais nao metálicos"
"19","23991",1,0,0,0,1,354150,"2399199","02",35,19400000,1,1,0,2135,1,2,3541505,"SP","Presidente Prudente","Presidente Prudente","Presidente Venceslau","-21.8732","-51.8447","FRM MER IND","CNPJ","Indústria de produtos minerais nao metálicos"
