"","codmun7","municipio","espvida","gini","rdpc","pop","idhm","idhm_e","idhm_l","idhm_r","G01_QTD_EMP","G01_QTD_VINC","G02_QTD_EMP","G02_QTD_VINC","G03_QTD_EMP","G03_QTD_VINC","G04_QTD_EMP","G04_QTD_VINC","G05_QTD_EMP","G05_QTD_VINC","G06_QTD_EMP","G06_QTD_VINC","G07_QTD_EMP","G07_QTD_VINC","G08_QTD_EMP","G08_QTD_VINC","G09_QTD_EMP","G09_QTD_VINC","G10_QTD_EMP","G10_QTD_VINC","G11_QTD_EMP","G11_QTD_VINC","G12_QTD_EMP","G12_QTD_VINC","G13_QTD_EMP","G13_QTD_VINC","G14_QTD_EMP","G14_QTD_VINC","Geral_QTD_EMP","Geral_QTD_VINC"
"1",3500105,"ADAMANTINA",76.13,0.51,975.43,33490,0.79,0.75,0.852,0.772,14,48,15,37,2,0,13,0,40,78,1,0,1,1,0,0,1,2,6,22,0,0,0,0,4,0,27,932,2454,10305
"2",3500204,"ADOLFO",75.62,0.38,661.65,3557,0.73,0.648,0.844,0.71,2,1,1,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,949
"3",3500303,"AGUAÍ",76.49,0.47,636.07,32089,0.715,0.606,0.858,0.703,4,129,3,1,3,32,11,49,9,25,2,648,0,0,0,0,0,0,0,0,3,32,0,0,1,0,5,83,1832,7223
"4",3500402,"ÁGUAS DA PRATA",78.13,0.52,853.39,7510,0.781,0.716,0.886,0.75,1,0,0,0,0,0,37,86,2,2,4,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,468,1016
"5",3500501,"ÁGUAS DE LINDÓIA",75.76,0.43,730.13,17120,0.745,0.675,0.846,0.725,3,8,5,7,0,0,10,19,19,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,374,1334,4704
"6",3500550,"ÁGUAS DE SANTA BÁRBARA",75.41,0.48,818.15,5583,0.757,0.695,0.84,0.744,1,2,3,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,481,1562
"7",3500600,"ÁGUAS DE SÃO PEDRO",78.37,0.54,1580.72,2680,0.854,0.825,0.89,0.849,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,21,287,1375
"8",3500709,"AGUDOS",75.67,0.41,642.59,34140,0.745,0.694,0.845,0.705,10,206,13,33,0,0,1,2,27,60,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,77,1440,9117
"9",3500758,"ALAMBARI",73.27,0.44,556.36,4863,0.712,0.658,0.805,0.682,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,111,247,997
"10",3500808,"ALFREDO MARCONDES",75.41,0.36,558.38,3885,0.741,0.71,0.84,0.682,2,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,895
