"","CO_MUNICIPIO","NOME_MUNICIPIO.x","QTD"
"1",3500105,"Adamantina",14
"2",3500204,"Adolfo",2
"3",3500303,"Aguaí",4
"4",3500402,"Águas da Prata",1
"5",3500501,"Águas de Lindóia",3
"6",3500550,"Águas de Santa Bárbara",1
"7",3500600,"Águas de São Pedro",0
"8",3500709,"Agudos",10
"9",3500758,"Alambari",3
"10",3500808,"Alfredo Marcondes",2
"11",3500907,"Altair",0
"12",3501004,"Altinópolis",2
"13",3501103,"Alto Alegre",0
"14",3501152,"Alumínio",1
"15",3501202,"Álvares Florence",0
"16",3501301,"Álvares Machado",7
"17",3501400,"Álvaro de Carvalho",0
"18",3501509,"Alvinlândia",0
"19",3501608,"Americana",88
"20",3501707,"Américo Brasiliense",3
"21",3501806,"Américo de Campos",2
"22",3501905,"Amparo",17
"23",3502002,"Analândia",4
"24",3502101,"Andradina",5
"25",3502200,"Angatuba",1
"26",3502309,"Anhembi",1
"27",3502408,"Anhumas",0
"28",3502507,"Aparecida",2
"29",3502606,"Aparecida d'Oeste",0
"30",3502705,"Apiaí",0
"31",3502754,"Araçariguama",1
"32",3502804,"Araçatuba",70
"33",3502903,"Araçoiaba da Serra",3
"34",3503000,"Aramina",1
"35",3503109,"Arandu",1
"36",3503158,"Arapeí",0
"37",3503208,"Araraquara",44
"38",3503307,"Araras",42
"39",3503356,"Arco-Íris",2
"40",3503406,"Arealva",2
"41",3503505,"Areias",0
"42",3503604,"Areiópolis",0
"43",3503703,"Ariranha",7
"44",3503802,"Artur Nogueira",6
"45",3503901,"Arujá",10
"46",3503950,"Aspásia",0
"47",3504008,"Assis",15
"48",3504107,"Atibaia",37
"49",3504206,"Auriflama",8
"50",3504305,"Avaí",0
"51",3504404,"Avanhandava",2
"52",3504503,"Avaré",16
"53",3504602,"Bady Bassitt",2
"54",3504701,"Balbinos",0
"55",3504800,"Bálsamo",8
"56",3504909,"Bananal",0
"57",3505005,"Barão de Antonina",0
"58",3505104,"Barbosa",0
"59",3505203,"Bariri",0
"60",3505302,"Barra Bonita",7
"61",3505351,"Barra do Chapéu",0
"62",3505401,"Barra do Turvo",0
"63",3505500,"Barretos",20
"64",3505609,"Barrinha",5
"65",3505708,"Barueri",45
"66",3505807,"Bastos",2
"67",3505906,"Batatais",21
"68",3506003,"Bauru",72
"69",3506102,"Bebedouro",11
"70",3506201,"Bento de Abreu",0
"71",3506300,"Bernardino de Campos",2
"72",3506359,"Bertioga",8
"73",3506409,"Bilac",2
"74",3506508,"Birigui",42
"75",3506607,"Biritiba Mirim",1
"76",3506706,"Boa Esperança do Sul",1
"77",3506805,"Bocaina",0
"78",3506904,"Bofete",1
"79",3507001,"Boituva",17
"80",3507100,"Bom Jesus dos Perdões",5
"81",3507159,"Bom Sucesso de Itararé",0
"82",3507209,"Borá",0
"83",3507308,"Boracéia",1
"84",3507407,"Borborema",3
"85",3507456,"Borebi",0
"86",3507506,"Botucatu",22
"87",3507605,"Bragança Paulista",24
"88",3507704,"Braúna",2
"89",3507753,"Brejo Alegre",0
"90",3507803,"Brodowski",19
"91",3507902,"Brotas",3
"92",3508009,"Buri",0
"93",3508108,"Buritama",3
"94",3508207,"Buritizal",3
"95",3508306,"Cabrália Paulista",0
"96",3508405,"Cabreúva",7
"97",3508504,"Caçapava",4
"98",3508603,"Cachoeira Paulista",2
