"","NOME_MUNICIPIO","CO_MUNICIPIO","QTD"
"1","Álvares Machado",3501301,1
"2","Americana",3501608,3
"3","Araçatuba",3502804,2
"4","Araraquara",3503208,5
"5","Araras",3503307,8
"6","Arealva",3503406,1
"7","Atibaia",3504107,4
"8","Auriflama",3504206,1
"9","Barra Bonita",3505302,1
"10","Barueri",3505708,3
"11","Batatais",3505906,1
"12","Bauru",3506003,5
"13","Bebedouro",3506102,1
"14","Birigui",3506508,6
"15","Boituva",3507001,6
"16","Botucatu",3507506,6
"17","Bragança Paulista",3507605,2
"18","Cabreúva",3508405,3
"19","Caçapava",3508504,5
"20","Cajamar",3509205,1
"21","Cajati",3509254,1
"22","Campina do Monte Alegre",3509452,1
"23","Campinas",3509502,13
"24","Capivari",3510401,2
"25","Carapicuíba",3510609,4
"26","Cesário Lange",3511607,1
"27","Cotia",3513009,1
"28","Cruzeiro",3513405,3
"29","Cubatão",3513504,1
"30","Diadema",3513801,4
"31","Embu das Artes",3515004,6
"32","Espírito Santo do Pinhal",3515186,1
"33","Ferraz de Vasconcelos",3515707,9
"34","Franca",3516200,4
"35","Gavião Peixoto",3516853,1
"36","Guararema",3518305,1
"37","Guaratinguetá",3518404,1
"38","Guarujá",3518701,10
"39","Guarulhos",3518800,21
"40","Holambra",3519055,1
"41","Hortolândia",3519071,7
"42","Iacri",3519204,1
"43","Ibiúna",3519709,1
"44","Igaraçu do Tietê",3520004,1
"45","Indaiatuba",3520509,4
"46","Ipeúna",3521101,1
"47","Iracemápolis",3521408,1
"48","Itapecerica da Serra",3522208,3
"49","Itapevi",3522505,1
"50","Itapira",3522604,8
"51","Itaquaquecetuba",3523107,1
"52","Itatiba",3523404,2
"53","Itu",3523909,1
"54","Itupeva",3524006,2
"55","Jaboticabal",3524303,3
"56","Jacareí",3524402,2
"57","Jacupiranga",3524600,1
"58","Jaguariúna",3524709,2
"59","Jales",3524808,1
"60","Jandira",3525003,1
"61","Jaú",3525300,1
"62","Jundiaí",3525904,4
"63","Leme",3526704,1
"64","Limeira",3526902,14
"65","Marília",3529005,1
"66","Matão",3529302,1
"67","Mauá",3529401,1
"68","Mirassol",3530300,2
"69","Mococa",3530508,1
"70","Mogi Guaçu",3530706,5
"71","Mogi Mirim",3530805,3
"72","Monte Alto",3531308,6
"73","Monte Azul Paulista",3531506,1
"74","Nazaré Paulista",3532405,1
"75","Nova Granada",3533007,1
"76","Olímpia",3533908,1
"77","Orlândia",3534302,1
"78","Osasco",3534401,4
"79","Panorama",3535408,1
"80","Pariquera-Açu",3536208,1
"81","Paulínia",3536505,4
"82","Pederneiras",3536703,1
"83","Penápolis",3537305,1
"84","Pindamonhangaba",3538006,4
"85","Piracicaba",3538709,3
"86","Pirassununga",3539301,1
"87","Poá",3539806,1
"88","Pompéia",3540002,3
"89","Porto Feliz",3540606,1
"90","Praia Grande",3541000,2
"91","Presidente Epitácio",3541307,1
"92","Presidente Prudente",3541406,3
"93","Promissão",3541604,1
"94","Ribeirão Bonito",3542909,1
"95","Ribeirão Preto",3543402,7
"96","Rio Claro",3543907,5
"97","Riolândia",3544202,1
"98","Salto",3545209,2
"99","Santa Bárbara d'Oeste",3545803,1
"100","Santa Branca",3546009,1
"101","Santa Fé do Sul",3546603,2
"102","Santa Maria da Serra",3547007,2
"103","Santana de Parnaíba",3547304,2
"104","Santo André",3547809,1
"105","Santo Antônio de Posse",3548005,4
"106","Santos",3548500,4
"107","São Bernardo do Campo",3548708,6
"108","São Caetano do Sul",3548807,8
"109","São Carlos",3548906,5
"110","São João da Boa Vista",3549102,3
"111","São José do Rio Preto",3549805,2
"112","São José dos Campos",3549904,26
"113","São Paulo",3550308,117
"114","São Sebastião da Grama",3550803,3
"115","São Vicente",3551009,1
"116","Sertãozinho",3551702,4
"117","Sorocaba",3552205,7
"118","Sumaré",3552403,4
"119","Suzano",3552502,4
"120","Taboão da Serra",3552809,7
"121","Taubaté",3554102,8
"122","Tuiuti",3554953,1
"123","Valentim Gentil",3556107,1
"124","Valinhos",3556206,1
"125","Vargem Grande do Sul",3556404,1
"126","Vargem Grande Paulista",3556453,3
"127","Várzea Paulista",3556503,3
"128","Vinhedo",3556701,3
"129","Votuporanga",3557105,3
"130","Zacarias",3557154,1
