"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","31012",1,0,0,0,1,354880,2062,"3101200","03","01","Cnpj",35,"07",9540202,5,5,0,3548807,"SP","Metropolitana de São Paulo","São Paulo","São Caetano do Sul","-23.6229","-46.5548"
"2","31012",1,0,0,0,1,354730,2062,"3101200","06","01","Cnpj",35,"07",6530040,86,86,0,3547304,"SP","Metropolitana de São Paulo","Osasco","Santana de Parnaíba","-23.4439","-46.9178"
"3","31012",1,0,0,0,1,354980,2062,"3101200","02","01","Cnpj",35,"07",15045080,3,3,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"4","31012",1,0,0,0,1,354990,2135,"3101200","02","01","Cnpj",35,"07",12239050,1,1,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"5","31012",1,0,0,0,1,354520,2062,"3101200","04","01","Cnpj",35,"07",13326193,11,11,0,3545209,"SP","Macro Metropolitana Paulista","Sorocaba","Salto","-23.1996","-47.2931"
"6","31012",1,0,0,0,1,355030,2062,"3101200","02","01","Cnpj",35,"07",4085002,3,3,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"7","31012",1,0,0,0,1,353870,2135,"3101200","03","01","Cnpj",35,"07",13424305,8,8,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476"
"8","31012",1,0,0,0,1,354070,2135,"3101200","04","01","Cnpj",35,"07",99999999,15,15,0,3540705,"SP","Campinas","Pirassununga","Porto Ferreira","-21.8498","-47.487"
"9","31021",1,0,0,0,1,355710,2135,"3102100","02","01","Cnpj",35,"07",15504055,1,1,0,3557105,"SP","São José do Rio Preto","Votuporanga","Votuporanga","-20.4237","-49.9781"
"10","31012",1,0,0,0,0,351220,2062,"3101200","06","01","Cnpj",35,"07",13835000,75,75,0,3512209,"SP","Piracicaba","Limeira","Conchal","-22.3375","-47.1729"
