"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","01598",1,0,0,0,1,355480,2135,"0159801","02","01","Cnpj",35,"25",12120000,1,1,0,3554805,"SP","Vale do Paraíba Paulista","São José dos Campos","Tremembé","-22.9571","-45.5475"
"2","01598",1,0,0,0,1,350600,2062,"0159801","03","01","Cnpj",35,"25",17034420,6,6,0,3506003,"SP","Bauru","Bauru","Bauru","-22.3246","-49.0871"
"3","01598",1,0,0,0,1,350750,2305,"0159801","01","01","Cnpj",35,"25",18608012,0,0,0,3507506,"SP","Bauru","Botucatu","Botucatu","-22.8837","-48.4437"
"4","01598",1,0,0,0,0,350960,2305,"0159801","02","01","Cnpj",35,"25",13233270,1,1,0,3509601,"SP","Macro Metropolitana Paulista","Jundiaí","Campo Limpo Paulista","-23.2078","-46.7889"
"5","01598",1,0,0,0,0,350410,2062,"0159801","03","01","Cnpj",35,"25",12948000,7,7,0,3504107,"SP","Macro Metropolitana Paulista","Bragança Paulista","Atibaia","-23.1171","-46.5563"
"6","01598",1,0,0,0,0,350950,4081,"0159801","02","05","Caepf",35,"25",13106000,1,1,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"7","01598",1,0,0,0,0,353940,4120,"0159801","02","01","Cnpj",35,"25",99999999,2,2,0,3539400,"SP","Bauru","Bauru","Piratininga","-22.4142","-49.1339"
"8","01598",1,0,0,0,0,351790,4081,"0159801","02","03","Cei/Cno",35,"25",15420000,4,4,0,3517901,"SP","São José do Rio Preto","São José do Rio Preto","Guaraci","-20.4977","-48.9391"
"9","01598",1,0,0,0,0,352260,2135,"0159801","02","03","Cei/Cno",35,"25",13970970,4,4,0,3522604,"SP","Campinas","Mogi Mirim","Itapira","-22.4357","-46.8224"
"10","01598",1,0,0,0,0,350940,4120,"0159801","02","05","Caepf",35,"25",14240000,2,2,0,3509403,"SP","Ribeirão Preto","Batatais","Cajuru","-21.2749","-47.303"
"11","01598",1,1,0,0,0,350750,4120,"0159801","01","01","Cnpj",35,"25",18608013,0,0,0,3507506,"SP","Bauru","Botucatu","Botucatu","-22.8837","-48.4437"
"12","01598",1,0,0,0,0,352050,4081,"0159801","02","03","Cei/Cno",35,"25",13330000,1,1,0,3520509,"SP","Campinas","Campinas","Indaiatuba","-23.0816","-47.2101"
"13","01598",1,0,0,0,0,352400,4081,"0159801","03","03","Cei/Cno",35,"25",13295000,8,8,0,3524006,"SP","Macro Metropolitana Paulista","Jundiaí","Itupeva","-23.1526","-47.0593"
"14","01598",1,0,0,0,0,354640,4081,"0159801","02","05","Caepf",35,"25",18900000,1,1,0,3546405,"SP","Assis","Ourinhos","Santa Cruz do Rio Pardo","-22.8988","-49.6354"
"15","01598",1,0,0,0,0,350320,4120,"0159801","02","05","Caepf",35,"25",14801970,1,1,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
"16","01598",1,0,0,0,0,352270,4081,"0159801","02","03","Cei/Cno",35,"25",14900000,1,1,0,3522703,"SP","Araraquara","Araraquara","Itápolis","-21.5942","-48.8149"
"17","01598",1,0,0,0,0,354890,4120,"0159801","02","03","Cei/Cno",35,"25",13577899,1,1,0,3548906,"SP","Araraquara","São Carlos","São Carlos","-22.0174","-47.886"
"18","01598",1,0,0,0,1,354820,2135,"0159801","02","01","Cnpj",35,"25",12450000,4,4,0,3548203,"SP","Vale do Paraíba Paulista","Campos do Jordão","Santo Antônio do Pinhal","-22.827","-45.663"
"19","01598",1,0,0,0,0,350670,4081,"0159801","02","03","Cei/Cno",35,"25",14930000,3,3,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"20","01598",1,0,0,0,0,350610,4081,"0159801","02","03","Cei/Cno",35,"25",14700970,1,1,0,3506102,"SP","Ribeirão Preto","Jaboticabal","Bebedouro","-20.9491","-48.4791"
"21","01598",1,0,0,0,0,354165,4120,"0159801","02","05","Caepf",35,"25",18255970,1,1,0,3541653,"SP","Itapetininga","Tatuí","Quadra","-23.2993","-48.0547"
"22","01598",1,0,0,0,0,350940,4120,"0159801","03","05","Caepf",35,"25",14240000,5,5,0,3509403,"SP","Ribeirão Preto","Batatais","Cajuru","-21.2749","-47.303"
"23","01598",1,0,0,0,0,351220,4120,"0159801","02","03","Cei/Cno",35,"25",13835000,2,2,0,3512209,"SP","Piracicaba","Limeira","Conchal","-22.3375","-47.1729"
"24","01598",1,0,0,0,0,351360,4081,"0159801","02","05","Caepf",35,"25",12530000,1,1,0,3513603,"SP","Vale do Paraíba Paulista","Paraibuna/Paraitinga","Cunha","-23.0731","-44.9576"
"25","01598",1,0,0,0,1,350320,2135,"0159801","02","01","Cnpj",35,"25",14800450,3,3,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
"26","01598",1,0,0,0,0,350670,4120,"0159801","02","05","Caepf",35,"25",14930000,1,1,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"27","01598",1,0,0,0,0,350670,4081,"0159801","02","05","Caepf",35,"25",14930000,1,1,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"28","01598",1,0,0,0,0,350670,4120,"0159801","01","03","Cei/Cno",35,"25",14930000,0,0,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"29","01598",1,0,0,0,0,351360,4081,"0159801","02","05","Caepf",35,"25",12530000,1,1,0,3513603,"SP","Vale do Paraíba Paulista","Paraibuna/Paraitinga","Cunha","-23.0731","-44.9576"
"30","01598",1,0,0,0,0,350550,4081,"0159801","02","03","Cei/Cno",35,"25",14780970,1,1,0,3505500,"SP","Ribeirão Preto","Barretos","Barretos","-20.5531","-48.5698"
"31","01598",1,0,0,0,0,353180,2135,"0159801","02","01","Cnpj",35,"25",13190000,1,1,0,3531803,"SP","Campinas","Campinas","Monte Mor","-22.945","-47.3122"
"32","01598",1,0,0,0,0,350550,4120,"0159801","02","03","Cei/Cno",35,"25",14780970,1,1,0,3505500,"SP","Ribeirão Preto","Barretos","Barretos","-20.5531","-48.5698"
"33","01598",1,0,0,0,0,351720,4081,"0159801","02","03","Cei/Cno",35,"25",16430000,1,1,0,3517208,"SP","Bauru","Lins","Guaiçara","-21.6195","-49.8013"
"34","01598",1,0,0,0,0,351720,4081,"0159801","02","03","Cei/Cno",35,"25",16430000,1,1,0,3517208,"SP","Bauru","Lins","Guaiçara","-21.6195","-49.8013"
"35","01598",1,0,0,0,0,350610,4081,"0159801","02","03","Cei/Cno",35,"25",14700005,4,4,0,3506102,"SP","Ribeirão Preto","Jaboticabal","Bebedouro","-20.9491","-48.4791"
"36","01598",1,0,0,0,0,352330,4120,"0159801","02","03","Cei/Cno",35,"25",11760000,1,1,0,3523305,"SP","Litoral Sul Paulista","Itanhaém","Itariri","-24.2834","-47.1736"
"37","01598",1,0,0,0,0,352550,4120,"0159801","02","03","Cei/Cno",35,"25",12980000,1,1,0,3525508,"SP","Macro Metropolitana Paulista","Bragança Paulista","Joanópolis","-22.927","-46.2741"
"38","01598",1,0,0,0,0,351970,4120,"0159801","02","03","Cei/Cno",35,"25",18150000,3,3,0,3519709,"SP","Macro Metropolitana Paulista","Piedade","Ibiúna","-23.6596","-47.223"
"39","01598",1,0,0,0,0,355060,4120,"0159801","02","03","Cei/Cno",35,"25",18130970,1,1,0,3550605,"SP","Macro Metropolitana Paulista","Sorocaba","São Roque","-23.5226","-47.1357"
