"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE","OC_estado","OC_cidade","OC_bairro","OC_cep","OC_logradouro","OC_latitude","OC_longitude","OC_altitude","OC_ddd","OC_cod_IBGE"
"1","23427",1,0,0,0,0,351240,2062,"2342701","09","01","Cnpj",35,"02",13490000,647,647,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"2","23427",1,0,1,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,192,192,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"3","23427",1,0,0,0,0,351240,2062,"2342702","07","01","Cnpj",35,"02",13490000,232,232,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"4","23427",1,0,0,0,0,354670,2062,"2342701","09","01","Cnpj",35,"02",13510000,726,726,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"5","23427",1,0,0,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,189,189,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"6","23427",1,0,0,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,172,172,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"7","23427",1,0,0,0,1,354390,2135,"2342702","03","01","Cnpj",35,"02",13500970,5,5,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"8","23427",1,0,0,0,0,353870,2054,"2342701","09","01","Cnpj",35,"02",13413050,831,831,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Parque São Jorge","13413050","Rodovia Fausto Santomauro",-22.7342864,-47.6480644,530,19,"3538709"
"9","23427",1,0,0,0,1,353870,2062,"2342702","04","01","Cnpj",35,"02",13405190,15,15,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"10","23427",1,0,0,0,1,354390,2062,"2342702","03","01","Cnpj",35,"02",13504750,7,7,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Batovi","13504750","Rua 1",-22.3895368,-47.6140046,559.8,19,"3543907"
"11","23427",1,0,0,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,131,131,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"12","23427",1,0,0,0,0,354670,2062,"2342701","10","01","Cnpj",35,"02",13510000,1139,1139,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"13","23427",1,0,0,0,0,351240,2062,"2342701","08","01","Cnpj",35,"02",13490000,394,394,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"14","23427",1,0,0,0,0,354670,2062,"2342701","09","01","Cnpj",35,"02",13510000,516,516,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"15","23427",1,0,1,0,1,353870,2062,"2342702","02","01","Cnpj",35,"02",13401630,1,1,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401630","Avenida Laranjal Paulista",-22.8119233,-47.6901231,590.9,19,"3538709"
"16","23427",1,0,1,0,1,354390,2062,"2342702","02","01","Cnpj",35,"02",13504714,2,2,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Jardim Santa Maria","13504714","Rua Jacutinga",-22.4149023,-47.5651394,616.6,19,"3543907"
"17","23427",1,0,0,0,0,352690,2062,"2342702","05","01","Cnpj",35,"02",13480021,20,20,0,3526902,"SP","Piracicaba","Limeira","Limeira","-22.566","-47.397","SP","Limeira","Centro","13480021","Rua Deputado Octávio Lopes",-22.5665354,-47.3974368,550.6,19,"3526902"
