"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","23427",1,0,0,0,0,355600,2135,"2342702","01","01","Cnpj",35,"02",15850000,0,0,0,3556008,"SP","São José do Rio Preto","Novo Horizonte","Urupês","-21.2032","-49.2931"
"2","23427",1,0,0,0,1,353540,2062,"2342702","04","01","Cnpj",35,"02",17980000,14,14,0,3535408,"SP","Presidente Prudente","Dracena","Panorama","-21.354","-51.8562"
"3","23427",1,0,1,0,1,355400,2305,"2342702","05","01","Cnpj",35,"02",18273600,42,42,0,3554003,"SP","Itapetininga","Tatuí","Tatuí","-23.3487","-47.8461"
"4","23427",1,0,0,0,1,350030,2062,"2342702","05","01","Cnpj",35,"02",13860000,26,26,0,3500303,"SP","Campinas","Pirassununga","Aguaí","-22.0572","-46.9735"
"5","23427",1,0,0,0,1,355210,2135,"2342702","02","01","Cnpj",35,"02",13960000,2,2,0,3552106,"SP","Campinas","Amparo","Socorro","-22.5903","-46.5251"
"6","23427",1,0,0,0,0,352590,2062,"2342702","06","01","Cnpj",35,"02",13209430,83,83,0,3525904,"SP","Macro Metropolitana Paulista","Jundiaí","Jundiaí","-23.1852","-46.8974"
"7","23427",1,0,0,0,1,350320,2135,"2342702","02","01","Cnpj",35,"02",14830000,2,2,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
"8","23427",1,0,0,0,1,353050,2062,"2342702","03","01","Cnpj",35,"02",13730020,8,8,0,3530508,"SP","Campinas","São João da Boa Vista","Mococa","-21.4647","-47.0024"
"9","23427",1,0,0,0,1,353540,2305,"2342702","04","01","Cnpj",35,"02",17980000,12,12,0,3535408,"SP","Presidente Prudente","Dracena","Panorama","-21.354","-51.8562"
"10","23427",1,0,0,0,1,355210,2062,"2342702","02","01","Cnpj",35,"02",13960000,1,1,0,3552106,"SP","Campinas","Amparo","Socorro","-22.5903","-46.5251"
"11","23427",1,0,0,0,1,351540,2135,"2342702","05","01","Cnpj",35,"02",18870000,28,28,0,3515400,"SP","Assis","Ourinhos","Fartura","-23.3916","-49.5124"
"12","23427",1,0,1,0,1,355400,2062,"2342702","06","01","Cnpj",35,"02",18270010,88,88,0,3554003,"SP","Itapetininga","Tatuí","Tatuí","-23.3487","-47.8461"
"13","23427",1,0,0,0,0,352800,2135,"2342702","04","01","Cnpj",35,"02",17290000,11,11,0,3528007,"SP","Bauru","Jaú","Macatuba","-22.5002","-48.7102"
"14","23427",1,0,1,0,1,354530,2062,"2342702","05","01","Cnpj",35,"02",18160000,45,45,0,3545308,"SP","Macro Metropolitana Paulista","Sorocaba","Salto de Pirapora","-23.6474","-47.5743"
"15","23427",1,0,0,0,1,353640,2062,"2342702","04","01","Cnpj",35,"02",17990000,15,15,0,3536406,"SP","Presidente Prudente","Dracena","Paulicéia","-21.3153","-51.8321"
"16","23427",1,0,0,0,1,355330,2062,"2342702","05","01","Cnpj",35,"02",13710000,25,25,0,3553302,"SP","Campinas","São João da Boa Vista","Tambaú","-21.7029","-47.2703"
"17","23427",1,0,0,0,1,353640,2135,"2342702","02","01","Cnpj",35,"02",17990000,4,4,0,3536406,"SP","Presidente Prudente","Dracena","Paulicéia","-21.3153","-51.8321"
"18","23427",1,0,0,0,1,354910,2135,"2342702","04","01","Cnpj",35,"02",13870672,10,10,0,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944"
"19","23427",1,0,0,0,1,351540,2135,"2342702","05","01","Cnpj",35,"02",18870000,23,23,0,3515400,"SP","Assis","Ourinhos","Fartura","-23.3916","-49.5124"
"20","23427",1,0,0,0,1,353470,2062,"2342702","05","01","Cnpj",35,"02",19905152,35,35,0,3534708,"SP","Assis","Ourinhos","Ourinhos","-22.9797","-49.8697"
"21","23427",1,0,0,0,1,353540,2135,"2342702","02","01","Cnpj",35,"02",17980000,4,4,0,3535408,"SP","Presidente Prudente","Dracena","Panorama","-21.354","-51.8562"
"22","23427",1,0,0,0,1,351840,2135,"2342702","01","01","Cnpj",35,"02",12523500,0,0,0,3518404,"SP","Vale do Paraíba Paulista","Guaratinguetá","Guaratinguetá","-22.8075","-45.1938"
"23","23427",1,0,0,0,1,353540,2135,"2342702","04","01","Cnpj",35,"02",17980000,11,11,0,3535408,"SP","Presidente Prudente","Dracena","Panorama","-21.354","-51.8562"
"24","23427",1,0,0,0,0,351240,2062,"2342701","09","01","Cnpj",35,"02",13490000,647,647,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519"
"25","23427",1,0,0,0,1,352670,2135,"2342702","02","01","Cnpj",35,"02",13610690,2,2,0,3526704,"SP","Piracicaba","Limeira","Leme","-22.1809","-47.3841"
"26","23427",1,0,0,0,1,355330,2062,"2342702","04","01","Cnpj",35,"02",13710000,10,10,0,3553302,"SP","Campinas","São João da Boa Vista","Tambaú","-21.7029","-47.2703"
"27","23427",1,0,0,0,0,350280,2305,"2342702","03","01","Cnpj",35,"02",16080661,6,6,0,3502804,"SP","Araçatuba","Araçatuba","Araçatuba","-21.2076","-50.4401"
"28","23427",1,0,0,0,1,353730,2135,"2342702","02","01","Cnpj",35,"02",16300057,3,3,0,3537305,"SP","Araçatuba","Birigui","Penápolis","-21.4148","-50.0769"
"29","23427",1,0,0,0,1,355210,2062,"2342702","02","01","Cnpj",35,"02",13960000,3,3,0,3552106,"SP","Campinas","Amparo","Socorro","-22.5903","-46.5251"
"30","23427",1,0,0,0,1,352950,2135,"2342702","02","01","Cnpj",35,"02",15220000,3,3,0,3529500,"SP","São José do Rio Preto","São José do Rio Preto","Mendonça","-21.1757","-49.5791"
"31","23427",1,0,1,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,192,192,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272"
"32","23427",1,0,0,0,0,355400,2062,"2342702","06","01","Cnpj",35,"02",18270010,56,56,0,3554003,"SP","Itapetininga","Tatuí","Tatuí","-23.3487","-47.8461"
"33","23427",1,0,0,0,0,352000,2062,"2342702","06","01","Cnpj",35,"02",17350000,103,103,0,3520004,"SP","Bauru","Jaú","Igaraçu do Tietê","-22.509","-48.5597"
"34","23427",1,0,0,0,0,351240,2062,"2342702","07","01","Cnpj",35,"02",13490000,232,232,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519"
"35","23427",1,0,0,0,0,350950,2062,"2342702","03","01","Cnpj",35,"02",13050011,5,5,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"36","23427",1,0,0,0,1,351710,2062,"2342702","02","01","Cnpj",35,"02",16270000,2,2,0,3517109,"SP","Araçatuba","Birigui","Glicério","-21.3812","-50.2123"
"37","23427",1,0,0,0,1,353670,2135,"2342702","03","01","Cnpj",35,"02",17280000,9,9,0,3536703,"SP","Bauru","Jaú","Pederneiras","-22.3511","-48.7781"
"38","23427",1,0,0,0,0,354130,2062,"2342702","04","01","Cnpj",35,"02",19470000,15,15,0,3541307,"SP","Presidente Prudente","Presidente Prudente","Presidente Epitácio","-21.7651","-52.1111"
"39","23427",1,0,1,0,1,353640,2062,"2342702","04","01","Cnpj",35,"02",17990000,17,17,0,3536406,"SP","Presidente Prudente","Dracena","Paulicéia","-21.3153","-51.8321"
"40","23427",1,0,1,0,1,355400,2062,"2342702","05","01","Cnpj",35,"02",18270970,32,32,0,3554003,"SP","Itapetininga","Tatuí","Tatuí","-23.3487","-47.8461"
"41","23427",1,0,0,0,1,355330,2062,"2342702","04","01","Cnpj",35,"02",13710000,10,10,0,3553302,"SP","Campinas","São João da Boa Vista","Tambaú","-21.7029","-47.2703"
"42","23427",1,0,0,0,1,352390,2062,"2342702","06","01","Cnpj",35,"02",13310220,62,62,0,3523909,"SP","Macro Metropolitana Paulista","Sorocaba","Itu","-23.2544","-47.2927"
"43","23427",1,0,0,0,0,355400,2062,"2342701","07","01","Cnpj",35,"02",18280000,116,116,0,3554003,"SP","Itapetininga","Tatuí","Tatuí","-23.3487","-47.8461"
"44","23427",1,0,0,0,1,355330,2305,"2342702","05","01","Cnpj",35,"02",13710000,46,46,0,3553302,"SP","Campinas","São João da Boa Vista","Tambaú","-21.7029","-47.2703"
"45","23427",1,0,0,0,0,354670,2062,"2342701","09","01","Cnpj",35,"02",13510000,726,726,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272"
"46","23427",1,0,1,0,1,354520,2062,"2342702","06","01","Cnpj",35,"02",13323156,56,56,0,3545209,"SP","Macro Metropolitana Paulista","Sorocaba","Salto","-23.1996","-47.2931"
"47","23427",1,0,1,0,1,354910,2062,"2342702","04","01","Cnpj",35,"02",13879899,19,19,0,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944"
"48","23427",1,0,0,0,1,351270,2135,"2342702","02","01","Cnpj",35,"02",13540000,4,4,0,3512704,"SP","Piracicaba","Rio Claro","Corumbataí","-22.2213","-47.6215"
"49","23427",1,0,0,0,1,352470,2135,"2342702","02","01","Cnpj",35,"02",13820000,2,2,0,3524709,"SP","Campinas","Campinas","Jaguariúna","-22.7037","-46.9851"
